 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
   1.62060780E-03   56.2300034       1.79223475E+09
   1.71645836E-03   53.0900002       3.38764160E+09
   1.81817194E-03   50.1199989       0.00000000    
   1.92575611E-03   47.3199959       0.00000000    
   2.03999947E-03   44.6699982       1.42288691E+09
   2.16093869E-03   42.1699982       0.00000000    
   2.28904234E-03   39.8099976       0.00000000    
   2.42487411E-03   37.5800018       2.39578291E+09
   2.56839837E-03   35.4799995       2.26621235E+09
   2.72020232E-03   33.5000000       2.13460608E+09
   2.88193463E-03   31.6200008       2.01212979E+09
   3.05282325E-03   29.8500023       4.75602176E+09
   3.23373941E-03   28.1800003       5.40163328E+09
   3.42453108E-03   26.6100006       5.09706547E+09
   3.62765812E-03   25.1200008       7.19035238E+09
   3.84339015E-03   23.7099991       7.56554291E+09
   4.06997697E-03   22.3899975       5.70467277E+09
   4.31267312E-03   21.1299973       7.39485645E+09
   4.56775818E-03   19.9499989       1.27674644E+10
   4.83687781E-03   18.8399982       1.08048077E+10
   5.12524042E-03   17.7800007       1.41660058E+10
   5.42744342E-03   16.7899990       1.34051983E+10
   5.74932341E-03   15.8499994       1.46170184E+10
   6.09136187E-03   14.9600000       1.29102961E+10
   6.44917041E-03   14.1300001       9.49994598E+09
   6.83109276E-03   13.3399992       1.56956262E+10
   7.23802811E-03   12.5899992       1.60679127E+10
   7.66415242E-03   11.8900013       1.96893368E+10
   8.12181551E-03   11.2200003       2.63205827E+10
   8.60498380E-03   10.5899992       2.56670515E+10
   9.11267754E-03   9.99999905       3.22734141E+10
   9.65223741E-03   9.44099998       2.74009354E+10
   1.02240294E-02   8.91300011       3.63570831E+10
   1.08303754E-02   8.41400051       3.80587336E+10
   1.14725893E-02   7.94299984       4.35554836E+10
   1.21518569E-02   7.49900007       3.72817961E+10
   1.28728319E-02   7.07900000       4.57836339E+10
   1.36356093E-02   6.68299961       5.39665859E+10
   1.44416448E-02   6.30999994       5.37654190E+10
   1.52974287E-02   5.95699930       5.40524216E+10
   1.62060782E-02   5.62299967       7.25855273E+10
   1.71645842E-02   5.30899954       7.72382556E+10
   1.81817189E-02   5.01200056       8.13821379E+10
   1.92575604E-02   4.73199987       9.21724109E+10
   2.03999951E-02   4.46700001       1.13830871E+11
   2.16093846E-02   4.21700001       1.10586077E+11
   2.28904244E-02   3.98099971       1.26787396E+11
   2.42487434E-02   3.75799990       1.43387263E+11
   2.56839842E-02   3.54799986       1.53422447E+11
   2.72020232E-02   3.34999967       1.73970244E+11
   2.88193487E-02   3.16199994       1.84411636E+11
   3.05282343E-02   2.98500013       2.00038629E+11
   3.23373936E-02   2.81800032       2.28849648E+11
   3.42453122E-02   2.66099977       2.39987245E+11
   3.62765826E-02   2.51199985       2.73394270E+11
   3.84338982E-02   2.37100005       2.84011758E+11
   4.06997651E-02   2.23900008       3.22885616E+11
   4.31267284E-02   2.11299992       3.47693580E+11
   4.56775837E-02   1.99499977       3.72172915E+11
   4.83687781E-02   1.88399994       4.06802760E+11
   5.12524061E-02   1.77800000       4.32744956E+11
   5.42744361E-02   1.67900002       4.66932302E+11
   5.74932322E-02   1.58500004       4.93954957E+11
   6.09136187E-02   1.49600005       5.38210075E+11
   6.44917041E-02   1.41299999       5.66548496E+11
   6.83109239E-02   1.33399999       6.09142702E+11
   7.23802894E-02   1.25899982       6.47353663E+11
   7.66415298E-02   1.18900001       6.72554418E+11
   8.12181607E-02   1.12199998       7.19633187E+11
   8.60498324E-02   1.05900002       7.37540899E+11
   9.11267772E-02   1.00000000       7.73020516E+11
   9.65223759E-02  0.944099963       7.95409252E+11
  0.102240302      0.891299903       8.13528318E+11
  0.108303703      0.841400325       8.38618317E+11
  0.114725903      0.794299901       8.40632762E+11
  0.121518597      0.749899864       8.49761337E+11
  0.128728300      0.707900047       8.40098120E+11
  0.136356100      0.668299973       8.32750617E+11
  0.144416496      0.630999804       8.18631737E+11
  0.152974293      0.595699906       7.89631271E+11
  0.162060797      0.562299967       7.55976438E+11
  0.171645805      0.530900061       7.13954951E+11
  0.181817204      0.501199961       6.76790534E+11
  0.192575604      0.473200023       6.18405888E+11
  0.203999996      0.446699888       5.69030607E+11
  0.216093898      0.421699911       5.06536591E+11
  0.228904203      0.398100019       4.42247414E+11
  0.242487401      0.375800043       3.87141370E+11
  0.256839812      0.354800045       3.31108352E+11
  0.272020191      0.335000038       2.72352887E+11
  0.288193494      0.316199988       2.26179432E+11
  0.305282295      0.298500031       1.79570999E+11
  0.323373914      0.281800032       1.40149408E+11
  0.342453212      0.266099930       1.07962237E+11
  0.362765789      0.251200050       8.05000724E+10
  0.384339005      0.237099990       5.77328701E+10
  0.406997710      0.223899946       3.95905966E+10
  0.431267291      0.211299971       2.72198943E+10
  0.456775814      0.199499995       1.77404211E+10
  0.483687788      0.188399985       1.16331622E+10
  0.512524128      0.177799955       7.48531200E+09
  0.542744279      0.167900011       4.29502925E+09
  0.574932277      0.158500031       2.34880026E+09
  0.609136224      0.149599984       1.13323558E+09
  0.644917071      0.141299993       565473152.    
  0.683109283      0.133399993       288460288.    
  0.723802805      0.125900000       120509264.    
  0.766415298      0.118900001       98446624.0    
  0.812181592      0.112199999       42682028.0    
  0.860498428      0.105899990       3377242.75    
  0.911267817       9.99999866E-02   3195390.50    
  0.965223730       9.44099948E-02   0.00000000    
   1.02240300       8.91299993E-02   0.00000000    
   1.08303702       8.41400400E-02   0.00000000    
   1.14725900       7.94299915E-02   0.00000000    
   1.21518600       7.49899819E-02   0.00000000    
   1.28728294       7.07900152E-02   0.00000000    
   1.36356103       6.68299943E-02   0.00000000    
   1.44416404       6.31000176E-02   0.00000000    
   1.52974296       5.95699884E-02   0.00000000    
   1.62060797       5.62299937E-02   0.00000000    
   1.71645796       5.30900098E-02   0.00000000    
   1.81817198       5.01199961E-02   0.00000000    
   1.92575598       4.73200008E-02   0.00000000    
   2.03999901       4.46700081E-02   0.00000000    
   2.16093898       4.21699919E-02   0.00000000    
   2.28904200       3.98100056E-02   0.00000000    
   2.42487407       3.75800021E-02   0.00000000    
   2.56839800       3.54800038E-02   0.00000000    
   2.72020197       3.35000046E-02   0.00000000    
   2.88193488       3.16199958E-02   0.00000000    
   3.05282307       2.98500024E-02   0.00000000    
   3.23373890       2.81800050E-02   0.00000000    
   3.42453098       2.66100019E-02   0.00000000    
   3.62765789       2.51200031E-02   0.00000000    
   3.84338999       2.37099994E-02   0.00000000    
   4.06997585       2.23900042E-02   0.00000000    
   4.31267309       2.11299974E-02   0.00000000    
   4.56775808       1.99500006E-02   0.00000000    
   4.83687782       1.88399982E-02   0.00000000    
   5.12523985       1.77800022E-02   0.00000000    
   5.42744398       1.67899970E-02   0.00000000    
   5.74932289       1.58500001E-02   0.00000000    
   6.09136200       1.49599994E-02   0.00000000    
   6.44917011       1.41300010E-02   0.00000000    
   6.83109283       1.33400001E-02   0.00000000    
   7.23802805       1.25899995E-02   0.00000000    
   7.66415310       1.18899997E-02   0.00000000    
   8.12181664       1.12199998E-02   0.00000000    
   8.60498333       1.05900010E-02   0.00000000    
   9.11267757       9.99999978E-03   0.00000000    
   9.65223694       9.44100041E-03   0.00000000    
   10.2240295       8.91300011E-03   0.00000000    
   10.8303699       8.41400400E-03   0.00000000    
   11.4725904       7.94299878E-03   0.00000000    
   12.1518602       7.49899819E-03   0.00000000    
   12.8728304       7.07900105E-03   0.00000000    
   13.6356096       6.68299943E-03   0.00000000    
   14.4416399       6.31000195E-03   0.00000000    
  
 Total energy radiated out of the nebula [e36 erg/s]:   656193.250    
 dTheta:   0.314159274    
 dPhi:   0.314159274    
  
 Flux at 4.9GHz (must multiply by 1.e36/(4 Pi D[cm]^2 to obtain units of [Jy]) :   0.00000000    
