Model                     T     L         Md        Rout      silicates  gs
outputs_000/output_0075   4976  5.87e+41  6.73e-04  6.04e+16  0.5        3.6207e+00
outputs_000/output_0076  13485  5.43e+41  3.16e-03  2.13e+16  0.5        1.1186e-01
outputs_000/output_0077   8992  6.72e+41  2.12e-05  8.51e+16  1          7.3516e-03
outputs_000/output_0078   5783  1.33e+41  8.76e-04  1.24e+17  0          6.0662e-03
outputs_000/output_0079   5836  5.22e+41  4.04e-03  6.21e+16  1          4.0730e+00
outputs_000/output_0080   9805  2.98e+40  2.64e-03  2.21e+16  0.5        9.7379e-02
outputs_000/output_0081  10585  2.59e+41  3.93e-04  1.99e+17  0.5        3.1183e+00
outputs_000/output_0082   6207  6.51e+41  1.01e-05  1.63e+17  1          7.0596e-01
outputs_000/output_0083  11728  5.16e+41  1.67e-04  1.46e+17  0          5.4732e-01
outputs_000/output_0084  13610  9.14e+41  7.64e-03  6.45e+16  1          2.5778e+00
outputs_000/output_0085  10350  3.95e+41  4.01e-03  7.05e+16  1          3.1888e+00
outputs_000/output_0086   8256  8.89e+41  8.17e-02  1.40e+17  0          5.7684e-03
outputs_000/output_0087   9547  8.17e+41  2.68e-02  6.51e+16  0          5.5035e-01
outputs_000/output_0088  12006  4.83e+41  1.91e-02  1.83e+17  0.5        3.4853e-01
outputs_000/output_0089   4122  4.30e+41  2.31e-03  1.18e+17  1          3.3451e-01
outputs_000/output_0090   4469  3.10e+41  1.25e-05  1.22e+17  1          4.5704e+00
outputs_000/output_0091   7002  6.31e+41  1.97e-02  8.42e+16  0.5        2.8123e-02
outputs_000/output_0092   7995  5.03e+41  7.13e-02  7.63e+16  1          1.2986e-01
outputs_000/output_0093   7499  1.28e+41  3.64e-04  1.10e+17  0          2.5993e-01
outputs_000/output_0094   8187  3.66e+41  3.40e-03  2.51e+16  1          6.1711e-01
outputs_000/output_0095   9191  9.96e+41  1.08e-05  1.02e+17  0.5        1.5657e-01
outputs_000/output_0096   7358  7.48e+40  1.51e-03  3.73e+16  1          5.9881e-01
outputs_000/output_0097  10376  5.00e+41  1.65e-03  8.10e+16  0.5        2.8531e-01
outputs_000/output_0098   6000  8.87e+40  3.70e-02  6.17e+16  0.5        1.7462e-02
outputs_000/output_0099  11744  3.82e+41  6.22e-05  9.51e+16  1          8.8632e-02
outputs_000/output_0100  11800  7.52e+41  2.61e-05  7.06e+16  0.5        1.3708e-01
outputs_000/output_0101  12082  8.23e+40  4.26e-03  1.27e+17  0          1.3644e+00
outputs_000/output_0102   4292  7.17e+41  3.36e-04  2.89e+16  0.5        2.8833e-01
outputs_000/output_0103  12701  4.88e+41  2.27e-05  9.13e+16  1          2.9795e+00
outputs_000/output_0104  12987  5.65e+41  9.30e-05  8.81e+16  0.5        9.0130e-01
outputs_000/output_0105  11860  7.79e+41  1.18e-02  1.64e+17  1          8.7086e-01
outputs_000/output_0106   7796  9.38e+41  1.16e-04  1.18e+17  0.5        4.8684e-01
outputs_000/output_0107   5196  2.66e+40  8.07e-05  1.89e+17  0.5        9.6386e-01
outputs_000/output_0108   9123  1.87e+41  1.42e-03  1.39e+17  0.5        1.9230e-01
outputs_000/output_0109   6078  5.46e+41  5.71e-04  1.16e+17  0.5        3.6313e+00
outputs_000/output_0110   8062  3.59e+41  2.43e-04  9.97e+16  0          2.1246e+00
outputs_000/output_0111  11811  1.22e+41  2.84e-03  1.23e+17  1          9.2507e-02
outputs_000/output_0112  11758  7.98e+41  2.09e-04  1.42e+17  0.5        2.8236e-01
outputs_000/output_0113   5020  9.51e+41  2.42e-04  7.38e+16  0.5        9.4381e-03
outputs_000/output_0114  12303  2.33e+41  1.59e-05  1.35e+17  0.5        1.1487e-02
outputs_000/output_0115  10378  8.05e+41  2.79e-03  1.53e+17  0          8.1633e-01
outputs_000/output_0116   9855  9.67e+41  4.63e-05  9.58e+16  1          1.9086e-01
outputs_000/output_0117  13144  7.51e+41  9.03e-03  1.90e+17  0.5        9.2017e-01
outputs_000/output_0118  12702  6.50e+41  3.61e-05  4.87e+16  0.5        3.9661e+00
outputs_000/output_0119  12835  2.51e+41  4.15e-04  1.97e+17  1          6.1788e-01
outputs_000/output_0120   9275  7.98e+41  7.61e-02  1.40e+17  0.5        1.3231e-01
outputs_000/output_0121  11995  7.10e+41  1.85e-02  1.26e+17  0.5        8.8802e-03
outputs_000/output_0122   7665  3.73e+41  6.13e-02  1.86e+17  0.5        1.4014e-01
outputs_000/output_0123   7350  3.38e+39  1.68e-05  7.25e+16  0.5        1.8653e+00
outputs_000/output_0124   5867  3.89e+40  5.58e-02  8.33e+16  0          2.7880e-01
outputs_000/output_0125   8061  5.54e+41  4.92e-02  1.75e+17  1          2.7463e+00
outputs_000/output_0126   8924  6.95e+41  8.06e-04  7.34e+16  0          1.5994e-01
outputs_000/output_0127   4347  5.11e+41  2.36e-02  6.68e+16  1          3.4211e-01
outputs_000/output_0128   8905  6.84e+41  1.93e-04  5.55e+16  1          4.4205e-02
outputs_000/output_0129  12604  4.06e+40  1.32e-05  1.09e+16  0          4.2445e+00
outputs_000/output_0130  10068  3.56e+41  2.59e-02  5.60e+16  0          5.5577e-03
outputs_000/output_0131   9281  2.30e+41  1.20e-04  1.61e+17  0          2.1498e-01
outputs_000/output_0132  13718  8.08e+41  2.18e-05  1.10e+17  1          6.3962e-03
outputs_000/output_0133   5203  3.23e+40  2.13e-03  1.25e+17  0.5        2.4519e-02
outputs_000/output_0134  10763  7.12e+41  2.60e-03  1.74e+17  1          6.4995e-03
outputs_000/output_0135  12098  5.63e+41  6.98e-04  1.96e+17  0          4.1309e-01
outputs_000/output_0136   8868  7.55e+41  8.15e-04  4.18e+16  0          6.6727e-01
outputs_000/output_0137  10797  3.15e+41  8.33e-05  3.60e+16  1          5.8353e-03
outputs_000/output_0138  11049  8.92e+41  5.70e-05  5.11e+16  0          1.3552e-01
outputs_000/output_0139   4191  4.38e+41  9.50e-02  9.42e+16  0          3.5022e-01
outputs_000/output_0140   6437  7.45e+41  1.01e-05  1.64e+17  0          8.8050e-01
outputs_000/output_0141   8264  6.85e+41  2.84e-02  1.91e+17  0          9.5320e-01
outputs_000/output_0142   6667  6.80e+40  1.06e-02  1.10e+17  0          4.8559e-01
outputs_000/output_0143   7451  4.27e+41  3.38e-02  9.77e+16  1          1.8112e-01
outputs_000/output_0144   8377  1.97e+41  1.81e-02  3.58e+16  1          4.8650e+00
outputs_000/output_0145   6260  4.02e+41  6.07e-02  1.06e+17  0          3.8867e+00
outputs_000/output_0146   5841  8.71e+41  2.07e-05  1.35e+17  1          1.4434e-02
outputs_000/output_0147   9597  8.23e+41  5.34e-02  1.91e+16  1          1.3519e-01
outputs_000/output_0148   7993  1.07e+41  1.57e-03  9.84e+16  1          3.1563e-01
outputs_000/output_0149   4964  7.60e+40  3.95e-03  1.41e+17  1          7.6601e-03
outputs_000/output_0150   6421  7.60e+41  3.36e-02  8.18e+16  0.5        2.5780e+00
outputs_000/output_0151  11941  2.94e+40  4.48e-05  1.80e+17  0          4.3656e-02
outputs_000/output_0152  11222  7.17e+41  6.27e-04  1.51e+17  0.5        7.8214e-03
outputs_000/output_0153  12201  7.26e+41  3.67e-03  7.79e+16  0          3.1775e+00
outputs_000/output_0154   9940  2.20e+41  8.28e-05  1.51e+16  0          3.8385e-01
outputs_000/output_0155   8326  1.61e+41  6.68e-04  1.40e+17  1          4.0047e-01
outputs_000/output_0156   4047  5.65e+40  3.05e-03  1.56e+17  0          8.5128e-03
outputs_000/output_0157   6453  4.64e+41  1.43e-04  6.48e+16  0          3.7123e-01
outputs_000/output_0158  11931  8.00e+41  4.15e-02  3.89e+16  0          2.6855e+00
outputs_000/output_0159   8442  5.08e+41  9.40e-05  1.03e+17  1          9.5321e-02
outputs_000/output_0160  13608  8.60e+41  5.51e-04  4.60e+16  0.5        1.4752e+00
outputs_000/output_0161  10514  8.52e+41  2.32e-05  1.73e+17  0.5        4.3364e-02
outputs_000/output_0162   6002  7.06e+41  1.93e-02  1.76e+17  0          8.2832e-01
outputs_000/output_0163  10323  6.60e+40  2.08e-05  1.21e+17  0.5        5.8007e-03
outputs_000/output_0165  10451  4.76e+41  4.25e-03  1.75e+16  1          1.5820e-01
outputs_000/output_0166   9159  6.24e+41  4.08e-02  1.23e+17  0.5        2.4316e-01
outputs_000/output_0168   7227  9.19e+41  1.37e-04  4.50e+16  1          3.0217e-01
outputs_000/output_0169  12247  9.39e+41  3.50e-02  9.43e+16  1          2.3151e-01
outputs_000/output_0170  13472  9.47e+41  3.28e-05  1.80e+17  1          9.5499e-03
outputs_000/output_0171   7612  8.35e+40  5.98e-04  1.11e+17  1          1.4770e+00
outputs_000/output_0172   5681  9.26e+41  5.27e-03  1.70e+17  0          5.4608e-03
outputs_000/output_0173   8748  5.22e+41  1.07e-03  1.79e+17  0.5        1.3017e-02
outputs_000/output_0174   8109  5.96e+41  4.73e-02  4.94e+16  1          8.9284e-02
outputs_000/output_0175   5650  9.24e+41  4.11e-02  1.21e+17  0.5        2.3887e+00
outputs_000/output_0176   5435  1.98e+41  3.90e-04  8.60e+16  1          1.1966e-02
outputs_000/output_0177  10958  5.40e+40  1.20e-03  1.93e+17  1          5.7483e-02
outputs_000/output_0178  12485  7.10e+41  7.62e-03  1.47e+16  1          6.4229e-02
outputs_000/output_0179   8515  4.40e+41  2.23e-04  5.64e+16  1          9.4452e-01
outputs_000/output_0180   6771  4.88e+41  1.35e-02  7.76e+16  0.5        2.7706e-02
outputs_000/output_0181   9720  8.18e+40  8.79e-02  1.02e+17  0          1.7249e-01
outputs_000/output_0183   5468  9.45e+40  3.39e-02  1.90e+17  0          1.5905e+00
outputs_000/output_0184  10016  8.04e+41  1.66e-03  2.11e+16  0.5        8.9134e-02
outputs_000/output_0185   9542  9.68e+41  2.85e-02  1.89e+17  0.5        4.1837e-02
outputs_000/output_0186   9268  8.46e+41  3.17e-05  1.03e+17  0          1.8414e+00
outputs_000/output_0187  12833  1.39e+41  1.11e-02  8.90e+16  0.5        1.1138e-01
outputs_000/output_0188   7533  9.26e+41  1.08e-05  2.15e+16  0.5        3.4060e-01
outputs_000/output_0189   6285  9.00e+40  1.76e-03  7.21e+16  0          1.8681e-02
outputs_000/output_0190  13888  9.09e+41  7.89e-04  2.71e+16  0.5        1.3172e-02
outputs_000/output_0191   5165  3.35e+41  5.06e-04  1.19e+17  1          1.4611e-01
outputs_000/output_0192  13267  7.58e+41  1.59e-02  1.59e+17  0          4.9885e+00
outputs_000/output_0193   9334  2.25e+41  2.41e-03  3.68e+16  1          1.7484e-01
outputs_000/output_0194   9988  4.11e+41  2.68e-03  7.14e+16  0.5        3.1452e+00
outputs_000/output_0195   9093  8.79e+41  5.40e-04  8.03e+16  0          1.8587e+00
outputs_000/output_0196   4503  6.10e+41  6.22e-03  5.19e+16  0          3.0324e+00
outputs_000/output_0197  13745  4.96e+41  9.79e-02  1.31e+17  1          1.2270e-01
outputs_000/output_0198   5557  6.86e+40  6.31e-03  8.46e+16  1          1.7756e-02
outputs_000/output_0199  12572  5.75e+41  2.14e-04  1.37e+17  1          7.4327e-01
outputs_000/output_0200   4127  9.70e+41  3.16e-02  6.72e+16  0.5        7.1468e-01
outputs_000/output_0201  10947  4.11e+41  6.53e-04  1.74e+17  0          1.1132e-01
outputs_000/output_0202   4521  1.38e+41  9.07e-05  8.14e+16  0          7.1697e-03
outputs_000/output_0203   8914  9.28e+41  6.73e-04  3.23e+16  1          2.9978e-01
outputs_000/output_0204   6864  8.92e+41  3.77e-05  1.38e+17  0.5        1.8926e+00
outputs_000/output_0205  10111  8.65e+41  1.57e-02  9.15e+16  1          7.7461e-01
outputs_000/output_0206   6432  6.11e+41  1.71e-02  1.21e+17  1          1.2661e-01
outputs_000/output_0207  10815  3.47e+41  1.32e-05  7.97e+16  1          1.0553e-02
outputs_000/output_0208   6642  6.08e+41  3.09e-05  1.12e+16  1          3.3887e-02
outputs_000/output_0209   5272  9.07e+41  4.48e-04  1.92e+17  1          1.0867e+00
outputs_000/output_0210   8736  6.61e+41  2.83e-02  1.98e+17  1          2.3017e-02
outputs_000/output_0211  13517  8.82e+41  1.57e-05  1.76e+17  1          4.4667e-02
outputs_000/output_0212   5112  9.95e+41  2.34e-05  1.81e+17  0.5        3.4406e+00
outputs_000/output_0213   4459  6.02e+41  4.69e-05  1.66e+17  0          4.8396e-01
outputs_000/output_0214   9071  7.16e+41  4.07e-05  1.54e+17  0.5        1.9672e+00
outputs_000/output_0215   9247  8.61e+40  3.75e-04  1.03e+17  0          1.9690e+00
outputs_000/output_0216  12715  3.07e+41  3.22e-02  1.92e+17  1          4.2570e+00
outputs_000/output_0217   8002  8.56e+41  9.22e-03  1.65e+17  1          5.3769e-03
outputs_000/output_0218  10701  2.86e+41  1.11e-05  4.03e+16  0.5        4.2219e-02
outputs_000/output_0219   4067  4.82e+41  8.36e-04  1.20e+17  0          2.5971e+00
outputs_000/output_0220   8703  8.83e+41  9.47e-04  1.74e+17  0.5        6.4517e-02
outputs_000/output_0221   4870  7.49e+41  1.69e-04  1.37e+17  0          1.4412e-02
outputs_000/output_0222  11215  8.82e+41  1.14e-02  1.48e+17  0          2.7905e-02
outputs_000/output_0223   8948  3.42e+41  2.07e-02  1.33e+17  0.5        1.9876e-02
outputs_000/output_0224   5404  4.23e+41  3.91e-04  1.93e+17  0          3.5182e-02
outputs_000/output_0225  10801  9.58e+41  2.90e-05  3.99e+16  0.5        4.0182e-01
outputs_000/output_0226   8413  7.23e+41  4.70e-03  1.82e+17  1          4.3635e-02
outputs_000/output_0227   6855  6.22e+40  1.81e-04  6.06e+16  1          9.9633e-03
outputs_000/output_0228   5959  2.82e+41  6.57e-05  1.95e+17  0          2.2540e+00
outputs_000/output_0229   4648  1.45e+40  5.61e-03  1.88e+17  0.5        1.5002e-02
outputs_000/output_0230   4113  5.59e+41  1.06e-05  4.08e+16  0.5        8.4914e-01
outputs_000/output_0231   8396  2.33e+41  6.62e-02  8.59e+16  0          7.7963e-03
outputs_000/output_0232   7731  4.33e+41  1.85e-03  1.47e+17  1          9.6574e-03
outputs_000/output_0233   9628  9.68e+41  2.14e-05  6.58e+16  1          3.5085e-01
outputs_000/output_0234  10248  2.02e+41  3.48e-04  1.10e+17  0.5        6.2168e-01
outputs_000/output_0235   8212  2.63e+41  5.84e-03  1.21e+17  1          1.8412e-02
outputs_000/output_0236   8072  4.15e+41  6.25e-02  8.32e+16  0.5        1.3470e-02
outputs_000/output_0237   5638  8.72e+40  3.69e-04  5.17e+16  0          6.5057e-01
outputs_000/output_0238   9283  6.10e+41  2.04e-02  8.17e+16  1          6.1658e-01
outputs_000/output_0239  13502  8.71e+41  2.96e-02  1.57e+17  1          6.1550e-01
outputs_000/output_0240  13963  2.18e+41  1.21e-02  1.41e+17  0          2.6657e+00
outputs_000/output_0241   9087  8.00e+41  4.29e-05  1.36e+17  0.5        6.1792e-03
outputs_000/output_0242   7284  7.68e+41  1.90e-02  5.49e+16  0.5        4.3418e-01
outputs_000/output_0243  12285  4.91e+41  2.59e-04  9.43e+16  0          1.0388e+00
outputs_000/output_0244   8775  6.64e+41  7.90e-03  1.74e+17  0.5        1.4990e+00
outputs_000/output_0245  10875  9.80e+41  8.90e-05  8.79e+16  0          4.4328e-01
outputs_000/output_0246   4797  2.25e+40  1.84e-05  1.28e+17  0.5        4.8518e+00
outputs_000/output_0248   9461  9.01e+41  2.54e-04  3.64e+16  0.5        1.5390e+00
outputs_000/output_0249  12400  1.66e+41  1.46e-05  9.62e+16  1          1.3633e+00
outputs_000/output_0250   6094  2.70e+41  2.29e-05  4.01e+16  0          4.1304e+00
outputs_000/output_0251   6629  7.76e+41  3.10e-02  1.16e+17  0          8.7184e-01
outputs_000/output_0252  11680  4.14e+41  6.88e-04  1.56e+17  0          3.5857e+00
outputs_000/output_0253  10132  3.82e+41  3.62e-04  3.96e+16  0.5        8.1498e-02
outputs_000/output_0254  11674  5.53e+41  3.25e-02  5.14e+16  0          1.5918e+00
outputs_000/output_0255   5275  5.86e+40  5.41e-03  1.97e+17  1          9.9384e-01
outputs_000/output_0256  13274  2.38e+41  7.22e-05  1.83e+17  0          7.8592e-01
outputs_000/output_0257   7300  1.03e+41  2.15e-02  1.36e+17  1          2.4849e-01
outputs_000/output_0258  12159  7.12e+41  9.65e-04  1.39e+17  0.5        8.7721e-03
outputs_000/output_0259   8080  4.17e+41  1.76e-02  8.24e+16  1          1.0210e-02
outputs_000/output_0260   5352  9.52e+41  8.11e-04  8.84e+16  1          5.1315e-03
outputs_000/output_0261   6862  6.46e+41  2.05e-03  1.69e+17  0          5.3697e-03
outputs_000/output_0262   4145  4.09e+41  3.92e-03  1.42e+17  1          6.6779e-01
outputs_000/output_0264  11117  2.38e+41  7.81e-05  1.04e+17  1          9.7429e-03
outputs_000/output_0265   6050  1.34e+41  1.04e-03  7.31e+16  0          2.4820e-02
outputs_000/output_0266   5349  3.98e+41  5.52e-04  1.36e+17  0          6.1827e-01
outputs_000/output_0267   4108  7.78e+41  2.05e-04  1.59e+16  1          6.6234e-01
outputs_000/output_0268   5039  8.63e+41  1.78e-04  8.13e+16  0          1.9640e-01
outputs_000/output_0269   5509  8.42e+41  1.46e-05  1.62e+17  0.5        2.4788e-02
outputs_000/output_0270  12824  6.80e+41  2.10e-03  8.63e+16  0          1.4714e-01
outputs_000/output_0271  13592  1.05e+41  4.17e-05  3.59e+16  0.5        6.5975e-01
outputs_000/output_0272   8707  2.21e+41  8.81e-03  1.41e+17  1          3.1484e+00
outputs_000/output_0273  12277  8.26e+41  2.27e-02  1.59e+17  0.5        1.2137e+00
outputs_000/output_0274  13935  9.81e+41  9.41e-02  1.53e+17  0.5        1.4179e+00
outputs_000/output_0275   8288  9.45e+41  3.72e-04  1.57e+17  0          1.5856e-02
outputs_000/output_0276   4303  1.93e+41  3.76e-03  1.78e+17  1          9.5964e-02
outputs_000/output_0277   9089  3.78e+41  1.55e-03  1.93e+17  1          1.8328e+00
outputs_000/output_0278   5110  8.03e+41  1.69e-04  9.42e+16  1          1.3777e+00
outputs_000/output_0279   5763  1.30e+41  8.76e-02  1.64e+17  0          3.7033e-02
outputs_000/output_0280   6631  7.16e+41  4.51e-05  8.93e+16  0.5        9.5745e-02
outputs_000/output_0281  10236  5.53e+41  1.58e-05  1.93e+17  0          5.6673e-01
outputs_000/output_0282  11272  2.43e+41  1.14e-05  6.34e+16  0.5        2.1975e+00
outputs_000/output_0283   8847  9.11e+41  7.52e-03  1.67e+17  0          1.4079e-02
outputs_000/output_0284  12815  5.67e+41  2.76e-04  6.36e+16  0          2.5586e-02
outputs_000/output_0285   8801  4.62e+41  6.16e-04  8.01e+16  0.5        2.9144e+00
outputs_000/output_0286   8254  8.80e+41  5.26e-03  8.92e+16  0          1.1450e+00
outputs_000/output_0287   8340  1.48e+41  8.79e-04  4.27e+16  1          1.7747e-01
outputs_000/output_0288   4279  9.39e+41  1.21e-03  1.15e+17  0          4.2702e+00
outputs_000/output_0289  10040  9.57e+40  4.18e-04  4.83e+16  0.5        7.5302e-03
outputs_000/output_0290  11691  8.03e+41  2.23e-05  5.35e+16  0.5        5.1034e-01
outputs_000/output_0291   7755  2.30e+41  4.84e-02  1.83e+17  0.5        5.6789e-02
outputs_000/output_0292  10949  1.87e+41  8.60e-03  1.34e+17  0          2.0162e-02
outputs_000/output_0293   5374  8.00e+40  1.98e-05  1.30e+17  1          1.2864e-02
outputs_000/output_0294   8302  6.38e+41  1.02e-03  1.53e+17  0          1.1479e+00
outputs_000/output_0295   7778  6.00e+41  2.47e-04  1.82e+17  0.5        8.4322e-03
outputs_000/output_0296   9459  6.39e+39  8.24e-03  2.63e+16  0          3.1241e-01
outputs_000/output_0297  11841  6.10e+41  2.11e-05  3.65e+16  0          1.1879e-02
outputs_000/output_0298   9295  8.25e+41  6.63e-02  1.04e+17  1          2.5940e+00
outputs_000/output_0299   5845  7.08e+40  8.43e-04  5.16e+16  0.5        2.9353e+00
outputs_000/output_0300   5560  8.79e+41  7.80e-02  9.17e+16  0.5        8.5673e-01
outputs_000/output_0301   9224  2.40e+41  9.12e-03  6.21e+16  0.5        1.1485e-01
outputs_000/output_0302   8506  8.96e+41  2.20e-05  1.20e+17  0          1.3389e-02
outputs_000/output_0303  12694  1.25e+41  3.77e-05  1.20e+17  0.5        3.9711e+00
outputs_000/output_0304  13878  1.47e+40  3.04e-02  1.15e+17  1          5.7016e-03
outputs_000/output_0305   8347  3.35e+41  7.88e-02  2.14e+16  1          3.9507e-02
outputs_000/output_0306   7953  8.64e+41  4.87e-02  1.75e+17  0.5        1.9594e-01
outputs_000/output_0307  13041  3.16e+41  3.09e-04  1.33e+17  1          2.1569e-02
outputs_000/output_0308  10862  5.74e+41  6.86e-05  1.87e+16  0.5        1.2633e-02
outputs_000/output_0309  11176  9.55e+41  4.03e-05  1.43e+17  1          1.8962e-02
